cityCode,市町村名,C_2011コミュニティバス運行2011年,C_2017コミュニティバス運行2017年,D_2011デマンド型交通運行2011年,D_2017デマンド型交通運行2017年,人口密度(人/km2),面積(km2),軽自動車率,15歳未満人口比率,高齢化率,自家用車利用率
27204,大阪府池田市,0,1,0,0,4522.166,22.14,0.305,0.13,0.259,0.176
27205,大阪府吹田市,1,1,0,0,10244.707,36.09,0.218,0.139,0.229,0.141
27206,大阪府泉大津市,0,1,0,0,5460.971,14.31,0.411,0.14,0.238,0.285
27207,大阪府高槻市,0,0,0,0,3427.142,105.29,0.314,0.13,0.277,0.183
27208,大阪府貝塚市,1,1,0,0,1965.492,43.93,0.525,0.148,0.249,0.403
27209,大阪府守口市,0,1,0,0,9300.885,12.71,0.39,0.11,0.293,0.145
27210,大阪府枚方市,0,0,0,0,5603.753,65.12,0.327,0.133,0.27,0.213
27211,大阪府茨木市,0,0,0,0,3824.548,76.49,0.288,0.146,0.235,0.18
27212,大阪府八尾市,0,0,0,0,6528.698,41.72,0.385,0.13,0.274,0.206
27213,大阪府泉佐野市,1,1,0,0,1583.864,56.51,0.517,0.129,0.249,0.393
27214,大阪府富田林市,1,1,0,0,2991.193,39.72,0.423,0.121,0.271,0.352
27215,大阪府寝屋川市,0,1,0,0,9786.392,24.7,0.367,0.109,0.287,0.186
27216,大阪府河内長野市,1,1,0,1,883.851,109.63,0.389,0.11,0.313,0.354
27217,大阪府松原市,0,1,0,0,6659.321,16.66,0.414,0.121,0.286,0.225
27218,大阪府大東市,1,1,0,1,5852.231,18.27,0.382,0.129,0.256,0.181
27219,大阪府和泉市,1,1,0,1,2283.082,84.98,0.435,0.151,0.228,0.385
27220,大阪府箕面市,0,1,0,0,2878.844,47.9,0.248,0.142,0.259,0.235
27221,大阪府柏原市,0,1,0,0,2463.905,25.33,0.392,0.123,0.265,0.223
27222,大阪府羽曳野市,0,1,0,0,4513.101,26.45,0.434,0.128,0.284,0.298
27223,大阪府門真市,0,1,0,0,13169.441,12.3,0.412,0.116,0.28,0.173
27224,大阪府摂津市,0,1,0,0,5833.286,14.87,0.363,0.135,0.244,0.207
27225,大阪府高石市,0,1,0,0,5862.907,11.3,0.372,0.135,0.27,0.267
27226,大阪府藤井寺市,0,1,0,0,7263.976,8.89,0.4,0.133,0.268,0.241
27227,大阪府東大阪市,0,0,0,0,8236.158,61.78,0.371,0.121,0.275,0.177
27228,大阪府泉南市,1,1,0,0,1297.68,48.98,0.529,0.144,0.272,0.448
27229,大阪府四條畷市,1,1,0,0,2904.491,18.69,0.372,0.142,0.257,0.25
27230,大阪府交野市,0,1,0,0,2853.468,25.55,0.358,0.139,0.263,0.241
27231,大阪府大阪狭山市,1,1,0,0,4883.085,11.92,0.36,0.138,0.268,0.341
27232,大阪府阪南市,1,1,0,0,1343.216,36.17,0.499,0.126,0.287,0.44
27301,大阪府三島郡島本町,0,0,0,0,1598.362,16.81,0.297,0.147,0.256,0.151
27321,大阪府豊能郡豊能町,1,1,1,1,441.554,34.34,0.347,0.079,0.389,0.375
27322,大阪府豊能郡能勢町,0,1,0,1,102.161,98.75,0.569,0.08,0.348,0.725
27361,大阪府泉南郡熊取町,1,1,0,0,2521.412,17.24,0.468,0.14,0.258,0.454
27362,大阪府泉南郡田尻町,0,0,0,0,2055.162,5.62,0.492,0.15,0.231,0.362
27366,大阪府泉南郡岬町,1,1,0,0,279.799,49.18,0.519,0.099,0.364,0.458
27381,大阪府南河内郡太子町,0,0,0,0,1017.522,14.17,0.497,0.136,0.26,0.46
27382,大阪府南河内郡河南町,0,1,0,0,637.169,25.26,0.509,0.117,0.292,0.545
27383,大阪府南河内郡千早赤阪村,0,0,0,0,130.612,37.3,0.539,0.089,0.408,0.62
28100,兵庫県神戸市,0,1,0,0,5124.445,557.02,0.292,0.122,0.271,0.232
28201,兵庫県姫路市,1,1,0,0,979.599,534.47,0.445,0.141,0.252,0.545
28202,兵庫県尼崎市,0,0,0,0,8908.893,50.72,0.308,0.115,0.277,0.145
28203,兵庫県明石市,1,1,0,0,5821.227,49.42,0.365,0.136,0.253,0.29
28204,兵庫県西宮市,0,1,0,0,4696.607,99.96,0.207,0.141,0.233,0.174
28205,兵庫県洲本市,0,1,0,0,226.61,182.38,0.617,0.117,0.333,0.715
28206,兵庫県芦屋市,0,0,0,0,5711.21,18.47,0.115,0.132,0.274,0.181
28207,兵庫県伊丹市,0,0,0,0,7083.143,25.0,0.305,0.141,0.241,0.184
28208,兵庫県相生市,0,0,0,0,319.428,90.4,0.476,0.112,0.345,0.608
28209,兵庫県豊岡市,1,1,1,1,115.487,697.55,0.585,0.13,0.317,0.729
28210,兵庫県加古川市,1,1,0,1,1900.597,138.48,0.433,0.138,0.251,0.477
28212,兵庫県赤穂市,1,1,0,1,373.199,126.86,0.504,0.125,0.302,0.632
28213,兵庫県西脇市,1,1,0,0,306.236,132.44,0.544,0.129,0.31,0.764
28214,兵庫県宝塚市,0,1,0,0,2180.168,101.8,0.239,0.135,0.271,0.206
28215,兵庫県三木市,1,0,0,0,439.387,176.51,0.477,0.117,0.318,0.651
28216,兵庫県高砂市,1,1,0,0,2858.517,34.38,0.454,0.134,0.264,0.456
28217,兵庫県川西市,0,1,0,0,2336.041,53.44,0.296,0.13,0.301,0.254
28218,兵庫県小野市,1,1,1,1,519.164,92.94,0.521,0.146,0.261,0.736
28219,兵庫県三田市,0,0,0,0,515.558,210.32,0.382,0.13,0.213,0.407
28220,兵庫県加西市,1,1,0,0,293.385,150.98,0.537,0.116,0.305,0.778
28221,兵庫県篠山市,1,1,0,1,109.371,377.59,0.558,0.119,0.326,0.716
28222,兵庫県養父市,1,1,0,0,57.618,422.91,0.583,0.116,0.362,0.811
28223,兵庫県丹波市,0,0,0,1,130.553,493.21,0.575,0.129,0.323,0.809
28224,兵庫県南あわじ市,1,1,0,1,190.578,229.01,0.675,0.123,0.335,0.793
28225,兵庫県朝来市,1,1,0,1,75.545,403.06,0.567,0.124,0.333,0.791
28226,兵庫県淡路市,1,1,0,1,213.975,184.35,0.65,0.113,0.362,0.704
28227,兵庫県宍粟市,1,1,0,0,57.183,658.54,0.556,0.128,0.321,0.772
28228,兵庫県加東市,0,0,0,0,252.173,157.55,0.516,0.135,0.253,0.771
28229,兵庫県たつの市,1,1,0,1,371.224,210.87,0.538,0.132,0.283,0.696
28301,兵庫県川辺郡猪名川町,1,1,0,0,404.452,90.33,0.406,0.151,0.263,0.447
28365,兵庫県多可郡多可町,1,1,0,0,114.553,185.19,0.571,0.122,0.34,0.821
28381,兵庫県加古郡稲美町,0,0,0,0,837.595,34.92,0.514,0.133,0.29,0.642
28382,兵庫県加古郡播磨町,0,0,0,0,3473.593,9.13,0.443,0.146,0.251,0.426
28442,兵庫県神崎郡市川町,1,1,0,0,147.817,82.67,0.557,0.107,0.33,0.77
28443,兵庫県神崎郡福崎町,0,1,0,0,467.668,45.79,0.528,0.137,0.273,0.681
28446,兵庫県神崎郡神河町,1,1,0,0,56.421,202.23,0.568,0.116,0.341,0.806
28464,兵庫県揖保郡太子町,0,0,0,0,1506.948,14.17,0.263,0.136,0.26,0.46
28481,兵庫県赤穂郡上郡町,0,1,1,1,105.545,150.26,0.538,0.111,0.344,0.751
28501,兵庫県佐用郡佐用町,1,1,0,0,56.362,307.44,0.581,0.102,0.382,0.807
28585,兵庫県美方郡香美町,0,1,0,1,48.04,368.77,0.63,0.114,0.367,0.704
28586,兵庫県美方郡新温泉町,0,1,1,1,57.186,241.01,0.621,0.115,0.369,0.725
29201,奈良県奈良市,0,1,0,0,1256.044,276.94,0.381,0.12,0.286,0.323
29202,奈良県大和高田市,1,1,0,0,4087.036,16.48,0.489,0.106,0.28,0.393
29203,奈良県大和郡山市,1,1,0,0,1983.847,42.69,0.469,0.12,0.298,0.401
29204,奈良県天理市,1,1,0,1,738.061,86.42,0.534,0.126,0.242,0.445
29205,奈良県橿原市,1,1,0,0,3156.318,39.56,0.458,0.131,0.262,0.427
29206,奈良県桜井市,1,1,0,1,548.436,98.91,0.519,0.123,0.287,0.525
29207,奈良県五條市,0,1,1,1,106.363,292.02,0.595,0.097,0.34,0.689
29208,奈良県御所市,1,1,0,0,429.449,60.58,0.548,0.087,0.372,0.586
29209,奈良県生駒市,1,1,0,0,1997.293,53.15,0.295,0.148,0.259,0.284
29210,奈良県香芝市,0,1,0,1,3016.886,24.26,0.424,0.169,0.223,0.389
29211,奈良県葛城市,0,1,0,0,944.195,33.72,0.508,0.152,0.265,0.493
29212,奈良県宇陀市,1,1,0,1,124.589,247.5,0.543,0.096,0.366,0.622
29322,奈良県山辺郡山添村,0,1,0,0,54.565,66.52,0.596,0.083,0.423,0.868
29342,奈良県生駒郡平群町,1,1,0,0,902.245,23.9,0.435,0.11,0.357,0.385
29343,奈良県生駒郡三郷町,0,0,1,1,2716.216,8.79,0.407,0.129,0.3,0.341
29344,奈良県生駒郡斑鳩町,0,1,0,0,1746.055,14.27,0.426,0.139,0.289,0.351
29345,奈良県生駒郡安堵町,0,1,0,0,1507.864,4.31,0.497,0.094,0.305,0.402
29361,奈良県磯城郡川西町,0,1,0,0,1277.61,166.6,0.745,0.111,0.339,0.85
